Type,Model,error,epoch
training error,ompk35,0.40961652994155884,1
training error,ompk35,0.40961652994155884,2
training error,ompk35,0.40961652994155884,3
training error,ompk35,0.40961652994155884,4
training error,ompk35,0.40961652994155884,5
training error,ompk35,0.40961652994155884,6
training error,ompk35,0.40961652994155884,7
training error,ompk35,0.40961652994155884,8
training error,ompk35,0.40961652994155884,9
training error,ompk35,0.40961652994155884,10
training error,ompk35,0.40961652994155884,11
training error,ompk35,0.40961652994155884,12
training error,ompk35,0.40961652994155884,13
training error,ompk35,0.40961652994155884,14
training error,ompk35,0.40961652994155884,15
training error,ompk35,0.40961652994155884,16
training error,ompk35,0.40961652994155884,17
training error,ompk35,0.40961652994155884,18
training error,ompk35,0.40961652994155884,19
validation error,ompk35,0.39659368991851807,1
validation error,ompk35,0.39659368991851807,2
validation error,ompk35,0.39659368991851807,3
validation error,ompk35,0.39659368991851807,4
validation error,ompk35,0.39659368991851807,5
validation error,ompk35,0.39659368991851807,6
validation error,ompk35,0.39659368991851807,7
validation error,ompk35,0.39659368991851807,8
validation error,ompk35,0.39659368991851807,9
validation error,ompk35,0.39659368991851807,10
validation error,ompk35,0.39659368991851807,11
validation error,ompk35,0.39659368991851807,12
validation error,ompk35,0.39659368991851807,13
validation error,ompk35,0.39659368991851807,14
validation error,ompk35,0.39659368991851807,15
validation error,ompk35,0.39659368991851807,16
validation error,ompk35,0.39659368991851807,17
validation error,ompk35,0.39659368991851807,18
validation error,ompk35,0.39659368991851807,19
training error,ompk36,0.4089806079864502,1
training error,ompk36,0.4089806079864502,2
training error,ompk36,0.4089806079864502,3
training error,ompk36,0.4089806079864502,4
training error,ompk36,0.4089806079864502,5
training error,ompk36,0.4089806079864502,6
training error,ompk36,0.4089806079864502,7
training error,ompk36,0.4089806079864502,8
training error,ompk36,0.4108009934425354,9
training error,ompk36,0.40837377309799194,10
training error,ompk36,0.4089806079864502,11
training error,ompk36,0.4089806079864502,12
training error,ompk36,0.41383492946624756,13
training error,ompk36,0.4089806079864502,14
training error,ompk36,0.4089806079864502,15
training error,ompk36,0.4089806079864502,16
training error,ompk36,0.4089806079864502,17
training error,ompk36,0.4089806079864502,18
training error,ompk36,0.4089806079864502,19
validation error,ompk36,0.3883495330810547,1
validation error,ompk36,0.3883495330810547,2
validation error,ompk36,0.3883495330810547,3
validation error,ompk36,0.3883495330810547,4
validation error,ompk36,0.3883495330810547,5
validation error,ompk36,0.3883495330810547,6
validation error,ompk36,0.3883495330810547,7
validation error,ompk36,0.3883495330810547,8
validation error,ompk36,0.3883495330810547,9
validation error,ompk36,0.3883495330810547,10
validation error,ompk36,0.3883495330810547,11
validation error,ompk36,0.3883495330810547,12
validation error,ompk36,0.3883495330810547,13
validation error,ompk36,0.3883495330810547,14
validation error,ompk36,0.3883495330810547,15
validation error,ompk36,0.3883495330810547,16
validation error,ompk36,0.3883495330810547,17
validation error,ompk36,0.3883495330810547,18
validation error,ompk36,0.3883495330810547,19
training error,ompk37,0.414394736289978,1
training error,ompk37,0.414394736289978,2
training error,ompk37,0.414394736289978,3
training error,ompk37,0.414394736289978,4
training error,ompk37,0.414394736289978,5
training error,ompk37,0.414394736289978,6
training error,ompk37,0.414394736289978,7
training error,ompk37,0.414394736289978,8
training error,ompk37,0.414394736289978,9
training error,ompk37,0.414394736289978,10
training error,ompk37,0.414394736289978,11
training error,ompk37,0.414394736289978,12
training error,ompk37,0.414394736289978,13
training error,ompk37,0.414394736289978,14
training error,ompk37,0.414394736289978,15
training error,ompk37,0.414394736289978,16
training error,ompk37,0.414394736289978,17
training error,ompk37,0.414394736289978,18
training error,ompk37,0.414394736289978,19
validation error,ompk37,0.45652174949645996,1
validation error,ompk37,0.45652174949645996,2
validation error,ompk37,0.45652174949645996,3
validation error,ompk37,0.45652174949645996,4
validation error,ompk37,0.45652174949645996,5
validation error,ompk37,0.45652174949645996,6
validation error,ompk37,0.45652174949645996,7
validation error,ompk37,0.45652174949645996,8
validation error,ompk37,0.45652174949645996,9
validation error,ompk37,0.45652174949645996,10
validation error,ompk37,0.45652174949645996,11
validation error,ompk37,0.45652174949645996,12
validation error,ompk37,0.45652174949645996,13
validation error,ompk37,0.45652174949645996,14
validation error,ompk37,0.45652174949645996,15
validation error,ompk37,0.45652174949645996,16
validation error,ompk37,0.45652174949645996,17
validation error,ompk37,0.45652174949645996,18
validation error,ompk37,0.45652174949645996,19
training error,output,0.4055677056312561,1
training error,output,0.4055677056312561,2
training error,output,0.4055677056312561,3
training error,output,0.4055677056312561,4
training error,output,0.4055677056312561,5
training error,output,0.4055677056312561,6
training error,output,0.4055677056312561,7
training error,output,0.4055677056312561,8
training error,output,0.4055677056312561,9
training error,output,0.4055677056312561,10
training error,output,0.4055677056312561,11
training error,output,0.4055677056312561,12
training error,output,0.4055677056312561,13
training error,output,0.4055677056312561,14
training error,output,0.4055677056312561,15
training error,output,0.4055677056312561,16
training error,output,0.4055677056312561,17
training error,output,0.4055677056312561,18
training error,output,0.4055677056312561,19
validation error,output,0.3856208920478821,1
validation error,output,0.3856208920478821,2
validation error,output,0.3856208920478821,3
validation error,output,0.3856208920478821,4
validation error,output,0.3856208920478821,5
validation error,output,0.3856208920478821,6
validation error,output,0.3856208920478821,7
validation error,output,0.3856208920478821,8
validation error,output,0.3856208920478821,9
validation error,output,0.3856208920478821,10
validation error,output,0.3856208920478821,11
validation error,output,0.3856208920478821,12
validation error,output,0.3856208920478821,13
validation error,output,0.3856208920478821,14
validation error,output,0.3856208920478821,15
validation error,output,0.3856208920478821,16
