Type,Model,error,epoch
training error,ompk35,0.19659161567687988,1
training error,ompk35,0.19659161567687988,2
training error,ompk35,0.19659161567687988,3
training error,ompk35,0.19659161567687988,4
training error,ompk35,0.19659161567687988,5
training error,ompk35,0.19659161567687988,6
training error,ompk35,0.19659161567687988,7
training error,ompk35,0.19659161567687988,8
training error,ompk35,0.19659161567687988,9
training error,ompk35,0.19659161567687988,10
training error,ompk35,0.19659161567687988,11
training error,ompk35,0.19659161567687988,12
training error,ompk35,0.19659161567687988,13
training error,ompk35,0.19659161567687988,14
training error,ompk35,0.19659161567687988,15
training error,ompk35,0.19659161567687988,16
training error,ompk35,0.19659161567687988,17
training error,ompk35,0.19659161567687988,18
training error,ompk35,0.19659161567687988,19
validation error,ompk35,0.18491482734680176,1
validation error,ompk35,0.18491482734680176,2
validation error,ompk35,0.18491482734680176,3
validation error,ompk35,0.18491482734680176,4
validation error,ompk35,0.18491482734680176,5
validation error,ompk35,0.18491482734680176,6
validation error,ompk35,0.18491482734680176,7
validation error,ompk35,0.18491482734680176,8
validation error,ompk35,0.18491482734680176,9
validation error,ompk35,0.18491482734680176,10
validation error,ompk35,0.18491482734680176,11
validation error,ompk35,0.18491482734680176,12
validation error,ompk35,0.18491482734680176,13
validation error,ompk35,0.18491482734680176,14
validation error,ompk35,0.18491482734680176,15
validation error,ompk35,0.18491482734680176,16
validation error,ompk35,0.18491482734680176,17
validation error,ompk35,0.18491482734680176,18
validation error,ompk35,0.18491482734680176,19
training error,ompk36,0.18021845817565918,1
training error,ompk36,0.18021845817565918,2
training error,ompk36,0.18021845817565918,3
training error,ompk36,0.18021845817565918,4
training error,ompk36,0.18021845817565918,5
training error,ompk36,0.18021845817565918,6
training error,ompk36,0.18021845817565918,7
training error,ompk36,0.18021845817565918,8
training error,ompk36,0.18021845817565918,9
training error,ompk36,0.18021845817565918,10
training error,ompk36,0.18021845817565918,11
training error,ompk36,0.18021845817565918,12
training error,ompk36,0.18021845817565918,13
training error,ompk36,0.18021845817565918,14
training error,ompk36,0.18021845817565918,15
training error,ompk36,0.18021845817565918,16
training error,ompk36,0.18021845817565918,17
training error,ompk36,0.18021845817565918,18
training error,ompk36,0.18021845817565918,19
validation error,ompk36,0.2233009934425354,1
validation error,ompk36,0.2233009934425354,2
validation error,ompk36,0.2233009934425354,3
validation error,ompk36,0.2233009934425354,4
validation error,ompk36,0.2233009934425354,5
validation error,ompk36,0.2233009934425354,6
validation error,ompk36,0.2233009934425354,7
validation error,ompk36,0.2233009934425354,8
validation error,ompk36,0.2233009934425354,9
validation error,ompk36,0.2233009934425354,10
validation error,ompk36,0.2233009934425354,11
validation error,ompk36,0.2233009934425354,12
validation error,ompk36,0.2233009934425354,13
validation error,ompk36,0.2233009934425354,14
validation error,ompk36,0.2233009934425354,15
validation error,ompk36,0.2233009934425354,16
validation error,ompk36,0.2233009934425354,17
validation error,ompk36,0.2233009934425354,18
validation error,ompk36,0.2233009934425354,19
training error,ompk37,0.17230099439620972,1
training error,ompk37,0.17230099439620972,2
training error,ompk37,0.17230099439620972,3
training error,ompk37,0.17230099439620972,4
training error,ompk37,0.17230099439620972,5
training error,ompk37,0.17230099439620972,6
training error,ompk37,0.17230099439620972,7
training error,ompk37,0.17230099439620972,8
training error,ompk37,0.17230099439620972,9
training error,ompk37,0.17230099439620972,10
training error,ompk37,0.17230099439620972,11
training error,ompk37,0.17230099439620972,12
training error,ompk37,0.17230099439620972,13
training error,ompk37,0.17230099439620972,14
training error,ompk37,0.17230099439620972,15
training error,ompk37,0.17230099439620972,16
training error,ompk37,0.17230099439620972,17
training error,ompk37,0.17230099439620972,18
training error,ompk37,0.17230099439620972,19
validation error,ompk37,0.20434784889221191,1
validation error,ompk37,0.20434784889221191,2
validation error,ompk37,0.20434784889221191,3
validation error,ompk37,0.20434784889221191,4
validation error,ompk37,0.20434784889221191,5
validation error,ompk37,0.20434784889221191,6
validation error,ompk37,0.20434784889221191,7
validation error,ompk37,0.20434784889221191,8
validation error,ompk37,0.20434784889221191,9
validation error,ompk37,0.20434784889221191,10
validation error,ompk37,0.20434784889221191,11
validation error,ompk37,0.20434784889221191,12
validation error,ompk37,0.20434784889221191,13
validation error,ompk37,0.20434784889221191,14
validation error,ompk37,0.20434784889221191,15
validation error,ompk37,0.20434784889221191,16
validation error,ompk37,0.20434784889221191,17
validation error,ompk37,0.20434784889221191,18
validation error,ompk37,0.20434784889221191,19
training error,output,0.19213974475860596,1
training error,output,0.19213974475860596,2
training error,output,0.19213974475860596,3
training error,output,0.19213974475860596,4
training error,output,0.19213974475860596,5
training error,output,0.19213974475860596,6
training error,output,0.19213974475860596,7
training error,output,0.19213974475860596,8
training error,output,0.19213974475860596,9
training error,output,0.19213974475860596,10
training error,output,0.19213974475860596,11
training error,output,0.19213974475860596,12
training error,output,0.19213974475860596,13
training error,output,0.19213974475860596,14
training error,output,0.19213974475860596,15
training error,output,0.19213974475860596,16
training error,output,0.19213974475860596,17
