Type,Model,error,epoch
training error,ompk35,0.13329273462295532,1
training error,ompk35,0.13329273462295532,2
training error,ompk35,0.13329273462295532,3
training error,ompk35,0.13329273462295532,4
training error,ompk35,0.13329273462295532,5
training error,ompk35,0.13329273462295532,6
training error,ompk35,0.13329273462295532,7
training error,ompk35,0.13329273462295532,8
training error,ompk35,0.13329273462295532,9
training error,ompk35,0.13329273462295532,10
training error,ompk35,0.13329273462295532,11
training error,ompk35,0.13329273462295532,12
training error,ompk35,0.13329273462295532,13
training error,ompk35,0.13329273462295532,14
training error,ompk35,0.13329273462295532,15
training error,ompk35,0.13329273462295532,16
training error,ompk35,0.13329273462295532,17
training error,ompk35,0.13329273462295532,18
training error,ompk35,0.13329273462295532,19
validation error,ompk35,0.1459854245185852,1
validation error,ompk35,0.1459854245185852,2
validation error,ompk35,0.1459854245185852,3
validation error,ompk35,0.1459854245185852,4
validation error,ompk35,0.1459854245185852,5
validation error,ompk35,0.1459854245185852,6
validation error,ompk35,0.1459854245185852,7
validation error,ompk35,0.1459854245185852,8
validation error,ompk35,0.1459854245185852,9
validation error,ompk35,0.1459854245185852,10
validation error,ompk35,0.1459854245185852,11
validation error,ompk35,0.1459854245185852,12
validation error,ompk35,0.1459854245185852,13
validation error,ompk35,0.1459854245185852,14
validation error,ompk35,0.1459854245185852,15
validation error,ompk35,0.1459854245185852,16
validation error,ompk35,0.1459854245185852,17
validation error,ompk35,0.1459854245185852,18
validation error,ompk35,0.1459854245185852,19
training error,ompk36,0.13046115636825562,1
training error,ompk36,0.13046115636825562,2
training error,ompk36,0.13046115636825562,3
training error,ompk36,0.13046115636825562,4
training error,ompk36,0.13046115636825562,5
training error,ompk36,0.13046115636825562,6
training error,ompk36,0.13046115636825562,7
training error,ompk36,0.13046115636825562,8
training error,ompk36,0.13046115636825562,9
training error,ompk36,0.13046115636825562,10
training error,ompk36,0.13046115636825562,11
training error,ompk36,0.13046115636825562,12
training error,ompk36,0.13046115636825562,13
training error,ompk36,0.13046115636825562,14
training error,ompk36,0.13046115636825562,15
training error,ompk36,0.13046115636825562,16
training error,ompk36,0.13046115636825562,17
training error,ompk36,0.13046115636825562,18
training error,ompk36,0.13046115636825562,19
validation error,ompk36,0.1626213788986206,1
validation error,ompk36,0.1626213788986206,2
validation error,ompk36,0.1626213788986206,3
validation error,ompk36,0.1626213788986206,4
validation error,ompk36,0.1626213788986206,5
validation error,ompk36,0.1626213788986206,6
validation error,ompk36,0.1626213788986206,7
validation error,ompk36,0.1626213788986206,8
validation error,ompk36,0.1626213788986206,9
validation error,ompk36,0.1626213788986206,10
validation error,ompk36,0.1626213788986206,11
validation error,ompk36,0.1626213788986206,12
validation error,ompk36,0.1626213788986206,13
validation error,ompk36,0.1626213788986206,14
validation error,ompk36,0.1626213788986206,15
validation error,ompk36,0.1626213788986206,16
validation error,ompk36,0.1626213788986206,17
validation error,ompk36,0.1626213788986206,18
validation error,ompk36,0.1626213788986206,19
training error,ompk37,0.1079607605934143,1
training error,ompk37,0.1079607605934143,2
training error,ompk37,0.1079607605934143,3
training error,ompk37,0.1079607605934143,4
training error,ompk37,0.1079607605934143,5
training error,ompk37,0.1079607605934143,6
training error,ompk37,0.1079607605934143,7
training error,ompk37,0.1079607605934143,8
training error,ompk37,0.1079607605934143,9
training error,ompk37,0.1079607605934143,10
training error,ompk37,0.1079607605934143,11
training error,ompk37,0.1079607605934143,12
training error,ompk37,0.1079607605934143,13
training error,ompk37,0.1079607605934143,14
training error,ompk37,0.1079607605934143,15
training error,ompk37,0.1079607605934143,16
training error,ompk37,0.1079607605934143,17
training error,ompk37,0.1079607605934143,18
training error,ompk37,0.1079607605934143,19
validation error,ompk37,0.1608695387840271,1
validation error,ompk37,0.1608695387840271,2
validation error,ompk37,0.1608695387840271,3
validation error,ompk37,0.1608695387840271,4
