Type,Model,error,epoch
training error,ompk35,0.801582470536232,1
training error,ompk35,0.7985392510890961,2
training error,ompk35,0.7948873937129974,3
training error,ompk35,0.8009738326072693,4
training error,ompk35,0.7735849022865295,5
training error,ompk35,0.79123555123806,6
training error,ompk35,0.8003651797771454,7
training error,ompk35,0.7906268984079361,8
training error,ompk35,0.7881923317909241,9
training error,ompk35,0.7827145457267761,10
training error,ompk35,0.7875836938619614,11
training error,ompk35,0.7845404744148254,12
training error,ompk35,0.7839318364858627,13
training error,ompk35,0.7790626883506775,14
training error,ompk35,0.801582470536232,15
training error,ompk35,0.7845404744148254,16
training error,ompk35,0.7729762643575668,17
training error,ompk35,0.7814972549676895,18
training error,ompk35,0.7881923317909241,19
validation error,ompk35,0.7785888016223907,1
validation error,ompk35,0.815085157752037,2
validation error,ompk35,0.7810218930244446,3
validation error,ompk35,0.7785888016223907,4
validation error,ompk35,0.7810218930244446,5
validation error,ompk35,0.7785888016223907,6
validation error,ompk35,0.7810218930244446,7
validation error,ompk35,0.7785888016223907,8
validation error,ompk35,0.7785888016223907,9
validation error,ompk35,0.7785888016223907,10
validation error,ompk35,0.7810218930244446,11
validation error,ompk35,0.7810218930244446,12
validation error,ompk35,0.7810218930244446,13
validation error,ompk35,0.7785888016223907,14
validation error,ompk35,0.7810218930244446,15
validation error,ompk35,0.7785888016223907,16
validation error,ompk35,0.7810218930244446,17
validation error,ompk35,0.7810218930244446,18
validation error,ompk35,0.7810218930244446,19
training error,ompk36,0.7876213639974594,1
training error,ompk36,0.805218443274498,2
training error,ompk36,0.7912621349096298,3
training error,ompk36,0.7906553447246552,4
training error,ompk36,0.7936893254518509,5
training error,ompk36,0.8106796145439148,6
training error,ompk36,0.7864077687263489,7
training error,ompk36,0.7888349443674088,8
training error,ompk36,0.8058252483606339,9
training error,ompk36,0.797936886548996,10
training error,ompk36,0.7876213639974594,11
training error,ompk36,0.7967233061790466,12
training error,ompk36,0.7815534025430679,13
training error,ompk36,0.8058252483606339,14
training error,ompk36,0.7773058265447617,15
training error,ompk36,0.7839805781841278,16
training error,ompk36,0.7985436916351318,17
training error,ompk36,0.7955097109079361,18
training error,ompk36,0.7936893254518509,19
validation error,ompk36,0.7669902890920639,1
validation error,ompk36,0.7961165010929108,2
validation error,ompk36,0.7961165010929108,3
validation error,ompk36,0.7961165010929108,4
validation error,ompk36,0.8082524240016937,5
validation error,ompk36,0.7669902890920639,6
validation error,ompk36,0.7669902890920639,7
validation error,ompk36,0.7669902890920639,8
validation error,ompk36,0.7961165010929108,9
validation error,ompk36,0.7961165010929108,10
validation error,ompk36,0.8082524240016937,11
validation error,ompk36,0.7961165010929108,12
validation error,ompk36,0.7669902890920639,13
validation error,ompk36,0.7669902890920639,14
validation error,ompk36,0.7961165010929108,15
validation error,ompk36,0.7961165010929108,16
validation error,ompk36,0.7961165010929108,17
validation error,ompk36,0.7961165010929108,18
validation error,ompk36,0.7669902890920639,19
training error,ompk37,0.7600872367620468,1
training error,ompk37,0.7644492983818054,2
training error,ompk37,0.7764449268579483,3
training error,ompk37,0.7928026169538498,4
training error,ompk37,0.775354415178299,5
training error,ompk37,0.778625950217247,6
training error,ompk37,0.7699018567800522,7
training error,ompk37,0.7982551753520966,8
training error,ompk37,0.7688113451004028,9
training error,ompk37,0.7818974852561951,10
training error,ompk37,0.7829879969358444,11
training error,ompk37,0.775354415178299,12
training error,ompk37,0.7884405702352524,13
training error,ompk37,0.787350058555603,14
training error,ompk37,0.7611777484416962,15
training error,ompk37,0.7720828801393509,16
training error,ompk37,0.7731733918190002,17
training error,ompk37,0.7818974852561951,18
training error,ompk37,0.7600872367620468,19
validation error,ompk37,0.769565224647522,1
validation error,ompk37,0.769565224647522,2
validation error,ompk37,0.769565224647522,3
validation error,ompk37,0.7739130407571793,4
validation error,ompk37,0.8086956590414047,5
validation error,ompk37,0.769565224647522,6
validation error,ompk37,0.7739130407571793,7
validation error,ompk37,0.769565224647522,8
validation error,ompk37,0.769565224647522,9
validation error,ompk37,0.7739130407571793,10
validation error,ompk37,0.7739130407571793,11
validation error,ompk37,0.7739130407571793,12
validation error,ompk37,0.7739130407571793,13
validation error,ompk37,0.7739130407571793,14
validation error,ompk37,0.8086956590414047,15
validation error,ompk37,0.7739130407571793,16
validation error,ompk37,0.7739130407571793,17
validation error,ompk37,0.769565224647522,18
validation error,ompk37,0.7739130407571793,19
training error,output,0.8013100475072861,1
training error,output,0.7909388691186905,2
training error,output,0.7974890768527985,3
training error,output,0.786026194691658,4
training error,output,0.7925764173269272,5
training error,output,0.7800218313932419,6
training error,output,0.778930127620697,7
training error,output,0.8067685663700104,8
training error,output,0.7811135351657867,9
training error,output,0.786026194691658,10
training error,output,0.7734716087579727,11
training error,output,0.786026194691658,12
training error,output,0.7898471653461456,13
training error,output,0.7985807806253433,14
training error,output,0.7816593945026398,15
training error,output,0.7854803502559662,16
training error,output,0.7701965123414993,17
training error,output,0.7751091718673706,18
training error,output,0.786572054028511,19
validation error,output,0.7734204828739166,1
validation error,output,0.8148148208856583,2
validation error,output,0.7843137234449387,3
validation error,output,0.7952069789171219,4
validation error,output,0.7886710166931152,5
validation error,output,0.7952069789171219,6
validation error,output,0.7886710166931152,7
validation error,output,0.7690631747245789,8
validation error,output,0.7952069789171219,9
validation error,output,0.7973856180906296,10
validation error,output,0.7952069789171219,11
validation error,output,0.8017429262399673,12
validation error,output,0.7843137234449387,13
validation error,output,0.7952069789171219,14
validation error,output,0.793028324842453,15
validation error,output,0.7777777761220932,16
validation error,output,0.7952069789171219,17
validation error,output,0.7843137234449387,18
validation error,output,0.7734204828739166,19
