Type,Model,error,epoch
training error,ompk35,0.16798537969589233,1
training error,ompk35,0.16798537969589233,2
training error,ompk35,0.16798537969589233,3
training error,ompk35,0.16798537969589233,4
training error,ompk35,0.16798537969589233,5
training error,ompk35,0.16798537969589233,6
training error,ompk35,0.16798537969589233,7
training error,ompk35,0.16798537969589233,8
training error,ompk35,0.16798537969589233,9
training error,ompk35,0.16798537969589233,10
training error,ompk35,0.16798537969589233,11
training error,ompk35,0.16798537969589233,12
training error,ompk35,0.16798537969589233,13
training error,ompk35,0.16798537969589233,14
training error,ompk35,0.16798537969589233,15
training error,ompk35,0.16798537969589233,16
training error,ompk35,0.16798537969589233,17
training error,ompk35,0.16798537969589233,18
training error,ompk35,0.16798537969589233,19
validation error,ompk35,0.18491482734680176,1
validation error,ompk35,0.18491482734680176,2
validation error,ompk35,0.18491482734680176,3
validation error,ompk35,0.18491482734680176,4
validation error,ompk35,0.18491482734680176,5
validation error,ompk35,0.18491482734680176,6
validation error,ompk35,0.18491482734680176,7
validation error,ompk35,0.18491482734680176,8
validation error,ompk35,0.18491482734680176,9
validation error,ompk35,0.18491482734680176,10
validation error,ompk35,0.18491482734680176,11
validation error,ompk35,0.18491482734680176,12
validation error,ompk35,0.18491482734680176,13
validation error,ompk35,0.18491482734680176,14
validation error,ompk35,0.18491482734680176,15
validation error,ompk35,0.18491482734680176,16
validation error,ompk35,0.18491482734680176,17
validation error,ompk35,0.18491482734680176,18
validation error,ompk35,0.18491482734680176,19
training error,ompk36,0.16626214981079102,1
training error,ompk36,0.16626214981079102,2
training error,ompk36,0.16626214981079102,3
training error,ompk36,0.16626214981079102,4
training error,ompk36,0.16626214981079102,5
training error,ompk36,0.16626214981079102,6
training error,ompk36,0.16626214981079102,7
training error,ompk36,0.16626214981079102,8
training error,ompk36,0.16626214981079102,9
training error,ompk36,0.16626214981079102,10
training error,ompk36,0.16626214981079102,11
training error,ompk36,0.16626214981079102,12
training error,ompk36,0.16626214981079102,13
training error,ompk36,0.16626214981079102,14
training error,ompk36,0.16626214981079102,15
training error,ompk36,0.16626214981079102,16
training error,ompk36,0.16626214981079102,17
training error,ompk36,0.16626214981079102,18
training error,ompk36,0.16626214981079102,19
validation error,ompk36,0.2063106894493103,1
validation error,ompk36,0.2063106894493103,2
validation error,ompk36,0.2063106894493103,3
validation error,ompk36,0.2063106894493103,4
validation error,ompk36,0.2063106894493103,5
validation error,ompk36,0.2063106894493103,6
validation error,ompk36,0.2063106894493103,7
validation error,ompk36,0.2063106894493103,8
validation error,ompk36,0.2063106894493103,9
validation error,ompk36,0.2063106894493103,10
validation error,ompk36,0.2063106894493103,11
validation error,ompk36,0.2063106894493103,12
validation error,ompk36,0.2063106894493103,13
validation error,ompk36,0.2063106894493103,14
validation error,ompk36,0.2063106894493103,15
validation error,ompk36,0.2063106894493103,16
validation error,ompk36,0.2063106894493103,17
validation error,ompk36,0.2063106894493103,18
validation error,ompk36,0.2063106894493103,19
training error,ompk37,0.16466736793518066,1
training error,ompk37,0.16466736793518066,2
training error,ompk37,0.16466736793518066,3
training error,ompk37,0.16466736793518066,4
training error,ompk37,0.16466736793518066,5
training error,ompk37,0.16466736793518066,6
training error,ompk37,0.16466736793518066,7
training error,ompk37,0.16466736793518066,8
training error,ompk37,0.16466736793518066,9
training error,ompk37,0.16466736793518066,10
training error,ompk37,0.16466736793518066,11
training error,ompk37,0.16466736793518066,12
training error,ompk37,0.16466736793518066,13
training error,ompk37,0.16466736793518066,14
training error,ompk37,0.16466736793518066,15
training error,ompk37,0.16466736793518066,16
training error,ompk37,0.16466736793518066,17
training error,ompk37,0.16466736793518066,18
training error,ompk37,0.16466736793518066,19
validation error,ompk37,0.104347825050354,1
validation error,ompk37,0.104347825050354,2
validation error,ompk37,0.104347825050354,3
validation error,ompk37,0.104347825050354,4
validation error,ompk37,0.104347825050354,5
validation error,ompk37,0.104347825050354,6
validation error,ompk37,0.104347825050354,7
validation error,ompk37,0.104347825050354,8
validation error,ompk37,0.104347825050354,9
validation error,ompk37,0.104347825050354,10
validation error,ompk37,0.104347825050354,11
validation error,ompk37,0.104347825050354,12
validation error,ompk37,0.104347825050354,13
