Type,Model,error,epoch
training error,ompk35,0.6993304789066315,1
training error,ompk35,0.6993304789066315,2
training error,ompk35,0.6993304789066315,3
training error,ompk35,0.6993304789066315,4
training error,ompk35,0.6993304789066315,5
training error,ompk35,0.6993304789066315,6
training error,ompk35,0.6993304789066315,7
training error,ompk35,0.6993304789066315,8
training error,ompk35,0.6993304789066315,9
training error,ompk35,0.6993304789066315,10
training error,ompk35,0.6993304789066315,11
training error,ompk35,0.6993304789066315,12
training error,ompk35,0.6993304789066315,13
training error,ompk35,0.6993304789066315,14
training error,ompk35,0.6993304789066315,15
training error,ompk35,0.6993304789066315,16
training error,ompk35,0.6993304789066315,17
training error,ompk35,0.6993304789066315,18
training error,ompk35,0.6993304789066315,19
validation error,ompk35,0.6885644793510437,1
validation error,ompk35,0.6885644793510437,2
validation error,ompk35,0.6885644793510437,3
validation error,ompk35,0.6885644793510437,4
validation error,ompk35,0.6885644793510437,5
validation error,ompk35,0.6885644793510437,6
validation error,ompk35,0.6885644793510437,7
validation error,ompk35,0.6885644793510437,8
validation error,ompk35,0.6885644793510437,9
validation error,ompk35,0.6885644793510437,10
validation error,ompk35,0.6885644793510437,11
validation error,ompk35,0.6885644793510437,12
validation error,ompk35,0.6885644793510437,13
validation error,ompk35,0.6885644793510437,14
validation error,ompk35,0.6885644793510437,15
validation error,ompk35,0.6885644793510437,16
validation error,ompk35,0.6885644793510437,17
validation error,ompk35,0.6885644793510437,18
validation error,ompk35,0.6885644793510437,19
training error,ompk36,0.6947815418243408,1
training error,ompk36,0.6947815418243408,2
training error,ompk36,0.6947815418243408,3
training error,ompk36,0.6947815418243408,4
training error,ompk36,0.6947815418243408,5
training error,ompk36,0.6947815418243408,6
training error,ompk36,0.6947815418243408,7
training error,ompk36,0.6947815418243408,8
training error,ompk36,0.6947815418243408,9
training error,ompk36,0.6947815418243408,10
training error,ompk36,0.6947815418243408,11
training error,ompk36,0.6947815418243408,12
training error,ompk36,0.6947815418243408,13
training error,ompk36,0.6947815418243408,14
training error,ompk36,0.6947815418243408,15
training error,ompk36,0.6947815418243408,16
training error,ompk36,0.6947815418243408,17
training error,ompk36,0.6947815418243408,18
training error,ompk36,0.6947815418243408,19
validation error,ompk36,0.6941747665405273,1
validation error,ompk36,0.6941747665405273,2
validation error,ompk36,0.6941747665405273,3
validation error,ompk36,0.6941747665405273,4
validation error,ompk36,0.6941747665405273,5
validation error,ompk36,0.6941747665405273,6
validation error,ompk36,0.6941747665405273,7
validation error,ompk36,0.6941747665405273,8
validation error,ompk36,0.6941747665405273,9
validation error,ompk36,0.6941747665405273,10
validation error,ompk36,0.6941747665405273,11
validation error,ompk36,0.6941747665405273,12
validation error,ompk36,0.6941747665405273,13
validation error,ompk36,0.6941747665405273,14
validation error,ompk36,0.6941747665405273,15
validation error,ompk36,0.6941747665405273,16
validation error,ompk36,0.6941747665405273,17
validation error,ompk36,0.6941747665405273,18
validation error,ompk36,0.6941747665405273,19
training error,ompk37,0.7459105849266052,1
training error,ompk37,0.7459105849266052,2
training error,ompk37,0.7459105849266052,3
training error,ompk37,0.7459105849266052,4
training error,ompk37,0.7459105849266052,5
training error,ompk37,0.7459105849266052,6
training error,ompk37,0.7459105849266052,7
training error,ompk37,0.7459105849266052,8
training error,ompk37,0.7459105849266052,9
training error,ompk37,0.7459105849266052,10
training error,ompk37,0.7459105849266052,11
training error,ompk37,0.7459105849266052,12
training error,ompk37,0.7459105849266052,13
training error,ompk37,0.7459105849266052,14
training error,ompk37,0.7459105849266052,15
training error,ompk37,0.7459105849266052,16
training error,ompk37,0.7459105849266052,17
training error,ompk37,0.7459105849266052,18
training error,ompk37,0.7459105849266052,19
validation error,ompk37,0.708695650100708,1
validation error,ompk37,0.708695650100708,2
validation error,ompk37,0.708695650100708,3
validation error,ompk37,0.708695650100708,4
validation error,ompk37,0.708695650100708,5
validation error,ompk37,0.708695650100708,6
validation error,ompk37,0.708695650100708,7
validation error,ompk37,0.708695650100708,8
validation error,ompk37,0.708695650100708,9
validation error,ompk37,0.708695650100708,10
validation error,ompk37,0.708695650100708,11
validation error,ompk37,0.708695650100708,12
validation error,ompk37,0.708695650100708,13
validation error,ompk37,0.708695650100708,14
validation error,ompk37,0.708695650100708,15
validation error,ompk37,0.708695650100708,16
validation error,ompk37,0.708695650100708,17
validation error,ompk37,0.708695650100708,18
validation error,ompk37,0.708695650100708,19
training error,output,0.6861353814601898,1
training error,output,0.6948689818382263,2
training error,output,0.6861353814601898,3
training error,output,0.6861353814601898,4
training error,output,0.6861353814601898,5
training error,output,0.6861353814601898,6
training error,output,0.6861353814601898,7
training error,output,0.6861353814601898,8
training error,output,0.6861353814601898,9
training error,output,0.6861353814601898,10
training error,output,0.6861353814601898,11
training error,output,0.6861353814601898,12
training error,output,0.6861353814601898,13
training error,output,0.6861353814601898,14
training error,output,0.6861353814601898,15
training error,output,0.6861353814601898,16
training error,output,0.6861353814601898,17
training error,output,0.6861353814601898,18
training error,output,0.6861353814601898,19
validation error,output,0.7102396488189697,1
validation error,output,0.7102396488189697,2
validation error,output,0.7102396488189697,3
validation error,output,0.7102396488189697,4
validation error,output,0.7102396488189697,5
validation error,output,0.7102396488189697,6
validation error,output,0.7102396488189697,7
validation error,output,0.7102396488189697,8
validation error,output,0.7102396488189697,9
validation error,output,0.7102396488189697,10
validation error,output,0.7102396488189697,11
validation error,output,0.7102396488189697,12
validation error,output,0.7102396488189697,13
validation error,output,0.7102396488189697,14
validation error,output,0.7102396488189697,15
validation error,output,0.7102396488189697,16
validation error,output,0.7102396488189697,17
validation error,output,0.7102396488189697,18
validation error,output,0.7102396488189697,19
