Type,Model,error,epoch
training error,ompk35,0.12538039684295654,1
training error,ompk35,0.12538039684295654,2
training error,ompk35,0.12538039684295654,3
training error,ompk35,0.12538039684295654,4
training error,ompk35,0.12538039684295654,5
training error,ompk35,0.12538039684295654,6
training error,ompk35,0.12538039684295654,7
training error,ompk35,0.12538039684295654,8
training error,ompk35,0.12538039684295654,9
training error,ompk35,0.12538039684295654,10
training error,ompk35,0.12538039684295654,11
training error,ompk35,0.12538039684295654,12
training error,ompk35,0.12538039684295654,13
training error,ompk35,0.12538039684295654,14
training error,ompk35,0.12538039684295654,15
training error,ompk35,0.12538039684295654,16
training error,ompk35,0.12538039684295654,17
training error,ompk35,0.12538039684295654,18
training error,ompk35,0.12538039684295654,19
validation error,ompk35,0.10462290048599243,1
validation error,ompk35,0.10462290048599243,2
validation error,ompk35,0.10462290048599243,3
validation error,ompk35,0.10462290048599243,4
validation error,ompk35,0.10462290048599243,5
validation error,ompk35,0.10462290048599243,6
validation error,ompk35,0.10462290048599243,7
validation error,ompk35,0.10462290048599243,8
validation error,ompk35,0.10462290048599243,9
validation error,ompk35,0.10462290048599243,10
validation error,ompk35,0.10462290048599243,11
validation error,ompk35,0.10462290048599243,12
validation error,ompk35,0.10462290048599243,13
validation error,ompk35,0.10462290048599243,14
validation error,ompk35,0.10462290048599243,15
validation error,ompk35,0.10462290048599243,16
validation error,ompk35,0.10462290048599243,17
validation error,ompk35,0.10462290048599243,18
validation error,ompk35,0.10462290048599243,19
training error,ompk36,0.12378638982772827,1
training error,ompk36,0.12378638982772827,2
training error,ompk36,0.12378638982772827,3
training error,ompk36,0.12378638982772827,4
training error,ompk36,0.12378638982772827,5
training error,ompk36,0.12378638982772827,6
training error,ompk36,0.12378638982772827,7
training error,ompk36,0.12378638982772827,8
training error,ompk36,0.12378638982772827,9
training error,ompk36,0.12378638982772827,10
training error,ompk36,0.12378638982772827,11
training error,ompk36,0.12378638982772827,12
training error,ompk36,0.12378638982772827,13
training error,ompk36,0.12378638982772827,14
training error,ompk36,0.12378638982772827,15
training error,ompk36,0.12378638982772827,16
training error,ompk36,0.12378638982772827,17
training error,ompk36,0.12378638982772827,18
training error,ompk36,0.12378638982772827,19
validation error,ompk36,0.09708738327026367,1
validation error,ompk36,0.09708738327026367,2
validation error,ompk36,0.09708738327026367,3
validation error,ompk36,0.09708738327026367,4
validation error,ompk36,0.09708738327026367,5
validation error,ompk36,0.09708738327026367,6
validation error,ompk36,0.09708738327026367,7
validation error,ompk36,0.09708738327026367,8
validation error,ompk36,0.09708738327026367,9
validation error,ompk36,0.09708738327026367,10
validation error,ompk36,0.09708738327026367,11
validation error,ompk36,0.09708738327026367,12
validation error,ompk36,0.09708738327026367,13
validation error,ompk36,0.09708738327026367,14
validation error,ompk36,0.09708738327026367,15
validation error,ompk36,0.09708738327026367,16
validation error,ompk36,0.09708738327026367,17
validation error,ompk36,0.09708738327026367,18
validation error,ompk36,0.09708738327026367,19
training error,ompk37,0.09378409385681152,1
training error,ompk37,0.09378409385681152,2
training error,ompk37,0.09378409385681152,3
training error,ompk37,0.09378409385681152,4
training error,ompk37,0.09378409385681152,5
training error,ompk37,0.09378409385681152,6
training error,ompk37,0.09378409385681152,7
training error,ompk37,0.09378409385681152,8
training error,ompk37,0.09378409385681152,9
training error,ompk37,0.09378409385681152,10
training error,ompk37,0.09378409385681152,11
training error,ompk37,0.09378409385681152,12
training error,ompk37,0.09378409385681152,13
training error,ompk37,0.09378409385681152,14
training error,ompk37,0.09378409385681152,15
training error,ompk37,0.09378409385681152,16
training error,ompk37,0.09378409385681152,17
training error,ompk37,0.09378409385681152,18
training error,ompk37,0.09378409385681152,19
validation error,ompk37,0.11304348707199097,1
validation error,ompk37,0.11304348707199097,2
validation error,ompk37,0.11304348707199097,3
validation error,ompk37,0.11304348707199097,4
validation error,ompk37,0.11304348707199097,5
validation error,ompk37,0.11304348707199097,6
validation error,ompk37,0.11304348707199097,7
validation error,ompk37,0.11304348707199097,8
validation error,ompk37,0.11304348707199097,9
validation error,ompk37,0.11304348707199097,10
validation error,ompk37,0.11304348707199097,11
validation error,ompk37,0.11304348707199097,12
validation error,ompk37,0.11304348707199097,13
validation error,ompk37,0.11304348707199097,14
validation error,ompk37,0.11304348707199097,15
validation error,ompk37,0.11304348707199097,16
validation error,ompk37,0.11304348707199097,17
validation error,ompk37,0.11304348707199097,18
validation error,ompk37,0.11304348707199097,19
training error,output,0.11844980716705322,1
training error,output,0.11844980716705322,2
training error,output,0.11844980716705322,3
training error,output,0.11844980716705322,4
training error,output,0.11844980716705322,5
training error,output,0.11844980716705322,6
training error,output,0.11844980716705322,7
training error,output,0.11844980716705322,8
training error,output,0.11844980716705322,9
training error,output,0.11844980716705322,10
training error,output,0.11844980716705322,11
training error,output,0.11844980716705322,12
training error,output,0.11844980716705322,13
training error,output,0.11844980716705322,14
training error,output,0.11844980716705322,15
training error,output,0.11844980716705322,16
training error,output,0.11844980716705322,17
training error,output,0.11844980716705322,18
training error,output,0.11844980716705322,19
validation error,output,0.11328977346420288,1
validation error,output,0.11328977346420288,2
validation error,output,0.11328977346420288,3
validation error,output,0.11328977346420288,4
validation error,output,0.11328977346420288,5
validation error,output,0.11328977346420288,6
validation error,output,0.11328977346420288,7
validation error,output,0.11328977346420288,8
validation error,output,0.11328977346420288,9
validation error,output,0.11328977346420288,10
validation error,output,0.11328977346420288,11
validation error,output,0.11328977346420288,12
validation error,output,0.11328977346420288,13
validation error,output,0.11328977346420288,14
validation error,output,0.11328977346420288,15
validation error,output,0.11328977346420288,16
validation error,output,0.11328977346420288,17
validation error,output,0.11328977346420288,18
validation error,output,0.11328977346420288,19
