Type,Model,error,epoch
training error,ompk35,0.4948265552520752,1
training error,ompk35,0.4948265552520752,2
training error,ompk35,0.4948265552520752,3
training error,ompk35,0.4948265552520752,4
training error,ompk35,0.4948265552520752,5
training error,ompk35,0.4948265552520752,6
training error,ompk35,0.4948265552520752,7
training error,ompk35,0.4948265552520752,8
training error,ompk35,0.4948265552520752,9
training error,ompk35,0.4948265552520752,10
training error,ompk35,0.4948265552520752,11
training error,ompk35,0.4948265552520752,12
training error,ompk35,0.4948265552520752,13
training error,ompk35,0.4948265552520752,14
training error,ompk35,0.4948265552520752,15
training error,ompk35,0.4948265552520752,16
training error,ompk35,0.4948265552520752,17
training error,ompk35,0.4948265552520752,18
training error,ompk35,0.4948265552520752,19
validation error,ompk35,0.510948896408081,1
validation error,ompk35,0.510948896408081,2
validation error,ompk35,0.510948896408081,3
validation error,ompk35,0.510948896408081,4
validation error,ompk35,0.510948896408081,5
validation error,ompk35,0.510948896408081,6
validation error,ompk35,0.510948896408081,7
validation error,ompk35,0.510948896408081,8
validation error,ompk35,0.510948896408081,9
validation error,ompk35,0.510948896408081,10
validation error,ompk35,0.510948896408081,11
validation error,ompk35,0.510948896408081,12
validation error,ompk35,0.510948896408081,13
validation error,ompk35,0.510948896408081,14
validation error,ompk35,0.510948896408081,15
validation error,ompk35,0.510948896408081,16
validation error,ompk35,0.510948896408081,17
validation error,ompk35,0.510948896408081,18
validation error,ompk35,0.510948896408081,19
training error,ompk36,0.4902912378311157,1
training error,ompk36,0.4902912378311157,2
training error,ompk36,0.4902912378311157,3
training error,ompk36,0.4902912378311157,4
training error,ompk36,0.4902912378311157,5
training error,ompk36,0.4902912378311157,6
training error,ompk36,0.4902912378311157,7
training error,ompk36,0.4902912378311157,8
training error,ompk36,0.4902912378311157,9
training error,ompk36,0.4902912378311157,10
training error,ompk36,0.4902912378311157,11
training error,ompk36,0.4902912378311157,12
training error,ompk36,0.4902912378311157,13
training error,ompk36,0.4902912378311157,14
training error,ompk36,0.4902912378311157,15
training error,ompk36,0.4902912378311157,16
training error,ompk36,0.4902912378311157,17
training error,ompk36,0.4902912378311157,18
training error,ompk36,0.4902912378311157,19
validation error,ompk36,0.4975728392601013,1
validation error,ompk36,0.4975728392601013,2
validation error,ompk36,0.4975728392601013,3
validation error,ompk36,0.4975728392601013,4
validation error,ompk36,0.4975728392601013,5
validation error,ompk36,0.4975728392601013,6
validation error,ompk36,0.4975728392601013,7
validation error,ompk36,0.4975728392601013,8
