Type,Model,error,epoch
training error,ompk35,0.5502130389213562,1
training error,ompk35,0.5502130389213562,2
training error,ompk35,0.5502130389213562,3
training error,ompk35,0.5502130389213562,4
training error,ompk35,0.4936092495918274,5
training error,ompk35,0.483262300491333,6
training error,ompk35,0.4856969118118286,7
training error,ompk35,0.4856969118118286,8
training error,ompk35,0.4856969118118286,9
training error,ompk35,0.48204505443573,10
training error,ompk35,0.4826536774635315,11
training error,ompk35,0.48204505443573,12
training error,ompk35,0.48021912574768066,13
training error,ompk35,0.4814363718032837,14
training error,ompk35,0.47839319705963135,15
training error,ompk35,0.47839319705963135,16
training error,ompk35,0.47595858573913574,17
training error,ompk35,0.47595858573913574,18
training error,ompk35,0.47778451442718506,19
validation error,ompk35,0.5231143534183502,1
validation error,ompk35,0.5231143534183502,2
validation error,ompk35,0.5231143534183502,3
validation error,ompk35,0.5231143534183502,4
validation error,ompk35,0.48905110359191895,5
validation error,ompk35,0.48905110359191895,6
validation error,ompk35,0.48905110359191895,7
validation error,ompk35,0.48905110359191895,8
validation error,ompk35,0.48905110359191895,9
validation error,ompk35,0.48905110359191895,10
validation error,ompk35,0.48175179958343506,11
validation error,ompk35,0.48175179958343506,12
validation error,ompk35,0.48175179958343506,13
validation error,ompk35,0.4720194935798645,14
validation error,ompk35,0.4793187379837036,15
validation error,ompk35,0.4793187379837036,16
validation error,ompk35,0.4793187379837036,17
validation error,ompk35,0.4793187379837036,18
validation error,ompk35,0.4793187379837036,19
training error,ompk36,0.535800963640213,1
training error,ompk36,0.535800963640213,2
training error,ompk36,0.535800963640213,3
training error,ompk36,0.535800963640213,4
training error,ompk36,0.535800963640213,5
training error,ompk36,0.535800963640213,6
training error,ompk36,0.535800963640213,7
training error,ompk36,0.535800963640213,8
training error,ompk36,0.535800963640213,9
training error,ompk36,0.535800963640213,10
training error,ompk36,0.535800963640213,11
training error,ompk36,0.535800963640213,12
training error,ompk36,0.535800963640213,13
training error,ompk36,0.535800963640213,14
training error,ompk36,0.535800963640213,15
training error,ompk36,0.535800963640213,16
training error,ompk36,0.535800963640213,17
training error,ompk36,0.535800963640213,18
training error,ompk36,0.535800963640213,19
validation error,ompk36,0.5509708821773529,1
validation error,ompk36,0.5509708821773529,2
validation error,ompk36,0.5509708821773529,3
validation error,ompk36,0.5509708821773529,4
validation error,ompk36,0.5509708821773529,5
validation error,ompk36,0.5509708821773529,6
validation error,ompk36,0.5509708821773529,7
validation error,ompk36,0.5509708821773529,8
validation error,ompk36,0.5509708821773529,9
validation error,ompk36,0.5509708821773529,10
validation error,ompk36,0.5509708821773529,11
validation error,ompk36,0.5509708821773529,12
validation error,ompk36,0.5509708821773529,13
validation error,ompk36,0.5509708821773529,14
validation error,ompk36,0.5509708821773529,15
validation error,ompk36,0.5509708821773529,16
validation error,ompk36,0.5509708821773529,17
validation error,ompk36,0.5509708821773529,18
validation error,ompk36,0.5509708821773529,19
training error,ompk37,0.5212650001049042,1
training error,ompk37,0.5212650001049042,2
training error,ompk37,0.5212650001049042,3
training error,ompk37,0.5212650001049042,4
training error,ompk37,0.5212650001049042,5
training error,ompk37,0.5212650001049042,6
training error,ompk37,0.5212650001049042,7
training error,ompk37,0.5212650001049042,8
training error,ompk37,0.5212650001049042,9
training error,ompk37,0.5212650001049042,10
training error,ompk37,0.5212650001049042,11
training error,ompk37,0.5212650001049042,12
training error,ompk37,0.5212650001049042,13
training error,ompk37,0.5212650001049042,14
training error,ompk37,0.5212650001049042,15
training error,ompk37,0.5212650001049042,16
training error,ompk37,0.5212650001049042,17
training error,ompk37,0.5212650001049042,18
training error,ompk37,0.5212650001049042,19
validation error,ompk37,0.4434782862663269,1
validation error,ompk37,0.4434782862663269,2
validation error,ompk37,0.4434782862663269,3
validation error,ompk37,0.4434782862663269,4
validation error,ompk37,0.4434782862663269,5
validation error,ompk37,0.4434782862663269,6
validation error,ompk37,0.4434782862663269,7
validation error,ompk37,0.4434782862663269,8
validation error,ompk37,0.4434782862663269,9
validation error,ompk37,0.4434782862663269,10
validation error,ompk37,0.4434782862663269,11
validation error,ompk37,0.4434782862663269,12
validation error,ompk37,0.4434782862663269,13
validation error,ompk37,0.4434782862663269,14
validation error,ompk37,0.4434782862663269,15
validation error,ompk37,0.4434782862663269,16
validation error,ompk37,0.4434782862663269,17
validation error,ompk37,0.4434782862663269,18
validation error,ompk37,0.4434782862663269,19
training error,output,0.5540392994880676,1
training error,output,0.5540392994880676,2
training error,output,0.5693231523036957,3
training error,output,0.5540392994880676,4
training error,output,0.5540392994880676,5
training error,output,0.5540392994880676,6
training error,output,0.5540392994880676,7
training error,output,0.5540392994880676,8
training error,output,0.5540392994880676,9
training error,output,0.5540392994880676,10
training error,output,0.5540392994880676,11
training error,output,0.5540392994880676,12
training error,output,0.5540392994880676,13
training error,output,0.5540392994880676,14
training error,output,0.5540392994880676,15
training error,output,0.5540392994880676,16
training error,output,0.5540392994880676,17
training error,output,0.5540392994880676,18
training error,output,0.5540392994880676,19
validation error,output,0.5228758156299591,1
validation error,output,0.5228758156299591,2
validation error,output,0.5228758156299591,3
validation error,output,0.5228758156299591,4
validation error,output,0.5228758156299591,5
validation error,output,0.5228758156299591,6
validation error,output,0.5228758156299591,7
validation error,output,0.5228758156299591,8
validation error,output,0.5228758156299591,9
validation error,output,0.5228758156299591,10
validation error,output,0.5228758156299591,11
validation error,output,0.5228758156299591,12
validation error,output,0.5228758156299591,13
validation error,output,0.5228758156299591,14
validation error,output,0.5228758156299591,15
validation error,output,0.5228758156299591,16
validation error,output,0.5228758156299591,17
validation error,output,0.5228758156299591,18
validation error,output,0.5228758156299591,19
