Type,Model,error,epoch
training error,ompk35,0.5952525734901428,1
training error,ompk35,0.5952525734901428,2
training error,ompk35,0.5952525734901428,3
training error,ompk35,0.5952525734901428,4
training error,ompk35,0.5952525734901428,5
training error,ompk35,0.5952525734901428,6
training error,ompk35,0.5952525734901428,7
training error,ompk35,0.5952525734901428,8
training error,ompk35,0.5952525734901428,9
training error,ompk35,0.5952525734901428,10
training error,ompk35,0.5952525734901428,11
training error,ompk35,0.5952525734901428,12
training error,ompk35,0.5952525734901428,13
training error,ompk35,0.5952525734901428,14
training error,ompk35,0.5952525734901428,15
training error,ompk35,0.5952525734901428,16
training error,ompk35,0.5952525734901428,17
training error,ompk35,0.5952525734901428,18
training error,ompk35,0.5952525734901428,19
validation error,ompk35,0.6131386756896973,1
validation error,ompk35,0.6131386756896973,2
validation error,ompk35,0.6131386756896973,3
validation error,ompk35,0.6131386756896973,4
validation error,ompk35,0.6131386756896973,5
validation error,ompk35,0.6131386756896973,6
validation error,ompk35,0.6131386756896973,7
validation error,ompk35,0.6131386756896973,8
validation error,ompk35,0.6131386756896973,9
validation error,ompk35,0.6131386756896973,10
validation error,ompk35,0.6131386756896973,11
validation error,ompk35,0.6131386756896973,12
validation error,ompk35,0.6131386756896973,13
validation error,ompk35,0.6131386756896973,14
validation error,ompk35,0.6131386756896973,15
validation error,ompk35,0.6131386756896973,16
validation error,ompk35,0.6131386756896973,17
validation error,ompk35,0.6131386756896973,18
validation error,ompk35,0.6131386756896973,19
training error,ompk36,0.5995145738124847,1
training error,ompk36,0.5995145738124847,2
training error,ompk36,0.5995145738124847,3
training error,ompk36,0.5995145738124847,4
training error,ompk36,0.5995145738124847,5
training error,ompk36,0.5995145738124847,6
training error,ompk36,0.5995145738124847,7
training error,ompk36,0.5995145738124847,8
training error,ompk36,0.5995145738124847,9
training error,ompk36,0.5995145738124847,10
training error,ompk36,0.5995145738124847,11
training error,ompk36,0.5995145738124847,12
training error,ompk36,0.5995145738124847,13
training error,ompk36,0.5995145738124847,14
training error,ompk36,0.5995145738124847,15
training error,ompk36,0.5995145738124847,16
training error,ompk36,0.5995145738124847,17
training error,ompk36,0.5995145738124847,18
training error,ompk36,0.5995145738124847,19
validation error,ompk36,0.6043689250946045,1
validation error,ompk36,0.6043689250946045,2
validation error,ompk36,0.6043689250946045,3
validation error,ompk36,0.6043689250946045,4
validation error,ompk36,0.6043689250946045,5
validation error,ompk36,0.6043689250946045,6
validation error,ompk36,0.6043689250946045,7
validation error,ompk36,0.6043689250946045,8
validation error,ompk36,0.6043689250946045,9
validation error,ompk36,0.6043689250946045,10
validation error,ompk36,0.6043689250946045,11
validation error,ompk36,0.6043689250946045,12
validation error,ompk36,0.6043689250946045,13
validation error,ompk36,0.6043689250946045,14
validation error,ompk36,0.6043689250946045,15
validation error,ompk36,0.6043689250946045,16
validation error,ompk36,0.6043689250946045,17
validation error,ompk36,0.6043689250946045,18
validation error,ompk36,0.6043689250946045,19
training error,ompk37,0.5823336839675903,1
training error,ompk37,0.5823336839675903,2
training error,ompk37,0.5823336839675903,3
training error,ompk37,0.5823336839675903,4
training error,ompk37,0.5823336839675903,5
training error,ompk37,0.5823336839675903,6
training error,ompk37,0.5823336839675903,7
training error,ompk37,0.5823336839675903,8
training error,ompk37,0.5823336839675903,9
training error,ompk37,0.5823336839675903,10
training error,ompk37,0.5823336839675903,11
training error,ompk37,0.5823336839675903,12
training error,ompk37,0.5823336839675903,13
training error,ompk37,0.5823336839675903,14
training error,ompk37,0.5823336839675903,15
training error,ompk37,0.5823336839675903,16
training error,ompk37,0.5823336839675903,17
training error,ompk37,0.5823336839675903,18
training error,ompk37,0.5823336839675903,19
