Type,Model,error,epoch
training error,ompk35,0.5502130389213562,1
training error,ompk35,0.5502130389213562,2
training error,ompk35,0.5502130389213562,3
training error,ompk35,0.5502130389213562,4
training error,ompk35,0.5502130389213562,5
training error,ompk35,0.5502130389213562,6
training error,ompk35,0.5502130389213562,7
training error,ompk35,0.5502130389213562,8
training error,ompk35,0.5502130389213562,9
training error,ompk35,0.5502130389213562,10
training error,ompk35,0.5502130389213562,11
training error,ompk35,0.5502130389213562,12
training error,ompk35,0.5502130389213562,13
training error,ompk35,0.5502130389213562,14
training error,ompk35,0.5502130389213562,15
training error,ompk35,0.5502130389213562,16
training error,ompk35,0.5502130389213562,17
training error,ompk35,0.5502130389213562,18
training error,ompk35,0.5502130389213562,19
validation error,ompk35,0.5474452674388885,1
validation error,ompk35,0.5474452674388885,2
validation error,ompk35,0.5474452674388885,3
validation error,ompk35,0.5474452674388885,4
validation error,ompk35,0.5474452674388885,5
validation error,ompk35,0.5474452674388885,6
validation error,ompk35,0.5474452674388885,7
validation error,ompk35,0.5474452674388885,8
validation error,ompk35,0.5474452674388885,9
validation error,ompk35,0.5474452674388885,10
validation error,ompk35,0.5474452674388885,11
validation error,ompk35,0.5474452674388885,12
validation error,ompk35,0.5474452674388885,13
validation error,ompk35,0.5474452674388885,14
validation error,ompk35,0.5474452674388885,15
validation error,ompk35,0.5474452674388885,16
validation error,ompk35,0.5474452674388885,17
validation error,ompk35,0.5474452674388885,18
validation error,ompk35,0.5474452674388885,19
training error,ompk36,0.5370145738124847,1
training error,ompk36,0.5370145738124847,2
training error,ompk36,0.5370145738124847,3
training error,ompk36,0.5370145738124847,4
training error,ompk36,0.5370145738124847,5
training error,ompk36,0.5370145738124847,6
training error,ompk36,0.5370145738124847,7
training error,ompk36,0.5370145738124847,8
training error,ompk36,0.5370145738124847,9
training error,ompk36,0.5370145738124847,10
training error,ompk36,0.5370145738124847,11
training error,ompk36,0.5370145738124847,12
training error,ompk36,0.5370145738124847,13
training error,ompk36,0.5370145738124847,14
training error,ompk36,0.5370145738124847,15
training error,ompk36,0.5370145738124847,16
training error,ompk36,0.5370145738124847,17
training error,ompk36,0.5370145738124847,18
training error,ompk36,0.5370145738124847,19
validation error,ompk36,0.5873786509037018,1
validation error,ompk36,0.5873786509037018,2
validation error,ompk36,0.5873786509037018,3
validation error,ompk36,0.5873786509037018,4
validation error,ompk36,0.5873786509037018,5
validation error,ompk36,0.5873786509037018,6
validation error,ompk36,0.5873786509037018,7
validation error,ompk36,0.5873786509037018,8
validation error,ompk36,0.5873786509037018,9
validation error,ompk36,0.5873786509037018,10
validation error,ompk36,0.5873786509037018,11
validation error,ompk36,0.5873786509037018,12
validation error,ompk36,0.5873786509037018,13
validation error,ompk36,0.5873786509037018,14
validation error,ompk36,0.5873786509037018,15
validation error,ompk36,0.5873786509037018,16
validation error,ompk36,0.5873786509037018,17
validation error,ompk36,0.5873786509037018,18
validation error,ompk36,0.5873786509037018,19
training error,ompk37,0.6030534207820892,1
training error,ompk37,0.6030534207820892,2
training error,ompk37,0.6030534207820892,3
training error,ompk37,0.6030534207820892,4
training error,ompk37,0.6030534207820892,5
training error,ompk37,0.6030534207820892,6
training error,ompk37,0.6030534207820892,7
training error,ompk37,0.6030534207820892,8
training error,ompk37,0.6030534207820892,9
training error,ompk37,0.6030534207820892,10
training error,ompk37,0.6030534207820892,11
training error,ompk37,0.6030534207820892,12
training error,ompk37,0.6030534207820892,13
training error,ompk37,0.6030534207820892,14
training error,ompk37,0.6030534207820892,15
training error,ompk37,0.6030534207820892,16
training error,ompk37,0.6030534207820892,17
training error,ompk37,0.6030534207820892,18
training error,ompk37,0.6030534207820892,19
validation error,ompk37,0.5478260815143585,1
validation error,ompk37,0.5478260815143585,2
validation error,ompk37,0.5478260815143585,3
validation error,ompk37,0.5478260815143585,4
validation error,ompk37,0.5478260815143585,5
validation error,ompk37,0.5478260815143585,6
validation error,ompk37,0.5478260815143585,7
validation error,ompk37,0.5478260815143585,8
validation error,ompk37,0.5478260815143585,9
validation error,ompk37,0.5478260815143585,10
validation error,ompk37,0.5478260815143585,11
validation error,ompk37,0.5478260815143585,12
validation error,ompk37,0.5478260815143585,13
validation error,ompk37,0.5478260815143585,14
validation error,ompk37,0.5478260815143585,15
validation error,ompk37,0.5478260815143585,16
validation error,ompk37,0.5478260815143585,17
validation error,ompk37,0.5478260815143585,18
validation error,ompk37,0.5478260815143585,19
training error,output,0.5376637578010559,1
training error,output,0.5376637578010559,2
training error,output,0.5376637578010559,3
training error,output,0.5376637578010559,4
training error,output,0.5376637578010559,5
training error,output,0.5376637578010559,6
training error,output,0.5376637578010559,7
training error,output,0.5376637578010559,8
training error,output,0.5376637578010559,9
training error,output,0.5376637578010559,10
training error,output,0.5376637578010559,11
training error,output,0.5376637578010559,12
training error,output,0.5376637578010559,13
training error,output,0.5376637578010559,14
training error,output,0.5376637578010559,15
training error,output,0.5376637578010559,16
training error,output,0.5376637578010559,17
training error,output,0.5376637578010559,18
training error,output,0.5376637578010559,19
validation error,output,0.5620914995670319,1
validation error,output,0.5620914995670319,2
validation error,output,0.5620914995670319,3
validation error,output,0.5620914995670319,4
validation error,output,0.5620914995670319,5
validation error,output,0.5620914995670319,6
validation error,output,0.5620914995670319,7
validation error,output,0.5620914995670319,8
validation error,output,0.5620914995670319,9
validation error,output,0.5620914995670319,10
validation error,output,0.5620914995670319,11
validation error,output,0.5620914995670319,12
validation error,output,0.5620914995670319,13
validation error,output,0.5620914995670319,14
validation error,output,0.5620914995670319,15
validation error,output,0.5620914995670319,16
validation error,output,0.5620914995670319,17
validation error,output,0.5620914995670319,18
validation error,output,0.5620914995670319,19
