,Kmer,Importance
271,f0,154
39,f524804,116
0,f1,94
1,f524812,74
216,f524802,68
230,f524805,67
454,f524808,67
140,f524803,65
34,f524810,58
458,f524800,58
44,f524809,55
249,f524806,44
26,f524811,42
19,f524801,41
3,f96031,40
242,f524807,38
540,f3,28
274,f2,26
555,f6,23
532,f5,21
2,f464895,21
691,f4,17
390,f9,17
84,f7,15
724,f16,13
69,f252593,13
20,f185209,11
701,f15,10
198,f436636,10
35,f408131,9
380,f8,9
278,f13,8
888,f12,8
10,f46424,7
76,f423,7
645,f10,7
72,f129518,7
66,f310715,7
197,f467611,7
394,f22,6
583,f19,6
578,f18,6
101,f120963,6
1753,f28,5
576,f14,5
404,f30,5
1431,f31,5
54,f24644,5
42,f311982,5
1042,f17,5
15,f42848,5
284,f24,5
136,f127719,4
11,f221338,4
610,f34,4
774,f188,4
169,f138492,4
465,f21,4
270,f307833,4
1458,f37,4
643,f459523,4
116,f390705,4
32,f214861,4
368,f11,4
37,f232677,4
36,f335437,4
292,f359095,3
358,f130013,3
287,f95695,3
170,f294919,3
100,f120940,3
962,f380023,3
1105,f235,3
450,f36,3
1123,f395013,3
330,f396606,3
630,f23,3
930,f26,3
145,f42,3
55,f393,3
1584,f353420,3
1144,f291443,3
495,f411881,3
1740,f33,3
542,f382005,3
770,f233915,3
904,f85428,3
25,f96505,3
70,f365520,3
1513,f29,3
200,f517713,3
73,f27,3
2001,f179548,3
336,f338727,2
327,f230014,2
240,f435143,2
1012,f369474,2
966,f180889,2
337,f69855,2
1300,f138823,2
912,f170691,2
2002,f58514,2
351,f120569,2
214,f415998,2
905,f255486,2
1294,f492032,2
1287,f220814,2
1026,f300276,2
325,f290423,2
315,f236010,2
1361,f67,2
1930,f900,2
1286,f389315,2
1357,f131873,2
1356,f55000,2
1618,f241,2
660,f350248,2
294,f38,2
661,f344083,2
290,f334032,2
1345,f51,2
354,f88297,2
443,f43837,2
903,f321254,2
898,f393472,2
512,f194,2
775,f391462,2
773,f426636,2
772,f254957,2
1741,f218,2
545,f376307,2
546,f67544,2
747,f216306,2
745,f257689,2
1708,f231252,2
565,f35,2
730,f300237,2
575,f312,2
671,f180768,2
581,f337,2
594,f30684,2
1580,f313643,2
697,f460939,2
695,f454727,2
1654,f3325,2
682,f46,2
1643,f211263,2
676,f121233,2
779,f35123,2
790,f21915,2
1763,f94,2
1829,f356514,2
889,f45,2
1864,f231713,2
1863,f156627,2
1861,f124368,2
882,f337799,2
1852,f366032,2
405,f481569,2
407,f428532,2
408,f132034,2
409,f149900,2
1449,f415088,2
493,f274082,2
427,f171639,2
844,f50,2
449,f76916,2
175,f172836,2
1793,f83,2
820,f103,2
804,f388263,2
480,f17381,2
484,f321588,2
492,f256130,2
186,f84011,2
926,f339819,2
80,f390567,2
1093,f143,2
167,f41223,2
103,f266043,2
1089,f243543,2
78,f306,2
1081,f49,2
141,f123824,2
1090,f6481,2
77,f497764,2
152,f57,2
17,f18896,2
1091,f392264,2
13,f281753,2
144,f172324,2
71,f502090,2
2112,f12840,2
1147,f204488,2
1213,f458925,2
22,f60088,2
23,f24804,2
28,f212018,2
87,f115642,2
24,f88770,2
79,f449127,2
1168,f389038,2
1208,f325,2
1058,f487665,2
96,f431128,2
4,f281473,2
5,f390127,2
6,f165412,2
81,f48,2
40,f355837,2
1261,f41,2
7,f555,2
1221,f200654,2
27,f231011,2
56,f275344,2
1134,f81634,2
2116,f720,2
12,f59469,2
1116,f313325,2
98,f54224,2
1502,f372126,1
1508,f82113,1
1507,f65646,1
1504,f178698,1
1498,f11982,1
1501,f493492,1
1499,f217071,1
1505,f428201,1
1500,f320489,1
1503,f265817,1
1195,f394,1
1506,f354499,1
1262,f685,1
1509,f163033,1
1519,f2410,1
1523,f250005,1
1522,f299496,1
1521,f38627,1
1187,f128965,1
1520,f341869,1
1188,f489344,1
1189,f227475,1
1190,f310,1
1191,f511959,1
1518,f516458,1
1510,f430192,1
1192,f204257,1
1517,f742,1
1193,f204709,1
1516,f345434,1
1497,f10705,1
1514,f473693,1
1194,f458513,1
1512,f25139,1
1511,f272903,1
1515,f132774,1
1487,f3955,1
1496,f281547,1
1463,f120269,1
1201,f359251,1
1202,f217062,1
1471,f218916,1
1470,f86854,1
1469,f335560,1
1468,f181469,1
1467,f428500,1
1203,f270781,1
1466,f462213,1
1465,f430558,1
1464,f511491,1
1462,f156797,1
1473,f9318,1
1461,f92214,1
1460,f395037,1
1459,f492052,1
1204,f105290,1
1457,f192305,1
1456,f417337,1
1205,f373534,1
1455,f34451,1
1454,f37610,1
1453,f3665,1
1206,f237235,1
1472,f406412,1
1474,f293832,1
1495,f498635,1
1484,f3885,1
1494,f435489,1
1196,f15032,1
1493,f213582,1
1492,f265330,1
1491,f280376,1
1490,f305504,1
1489,f4196,1
1488,f390160,1
1525,f30348,1
1486,f297593,1
1485,f178966,1
1483,f2337,1
1200,f87607,1
1482,f242000,1
1197,f72499,1
1481,f505014,1
1480,f517769,1
1479,f339072,1
1198,f352312,1
1199,f223191,1
1478,f390436,1
1477,f294166,1
1476,f342075,1
1475,f63398,1
1524,f156848,1
1536,f83378,1
1526,f456853,1
1527,f445853,1
1593,f437301,1
1592,f299,1
1170,f3770,1
1591,f335418,1
1590,f266863,1
1589,f369748,1
1171,f145931,1
1588,f77400,1
1587,f139004,1
1586,f3058,1
1585,f158162,1
1583,f131460,1
1582,f438753,1
1581,f155985,1
1579,f237442,1
1578,f177831,1
1577,f169,1
1576,f143433,1
1575,f434426,1
1172,f20448,1
1574,f517667,1
1573,f85,1
1572,f20117,1
1571,f159497,1
1570,f69992,1
1594,f425233,1
1595,f229707,1
1596,f80983,1
1167,f400666,1
1619,f9202,1
1617,f436957,1
1616,f368671,1
1615,f438944,1
1614,f278334,1
1613,f1405,1
1612,f23015,1
1166,f476571,1
1611,f276964,1
1610,f476469,1
1609,f133,1
1608,f767,1
1597,f193483,1
1607,f464233,1
1606,f219524,1
1605,f458698,1
1604,f340552,1
1603,f405950,1
1602,f81556,1
1601,f108654,1
1600,f418180,1
1169,f312367,1
1599,f1181,1
1598,f322,1
1569,f332026,1
1568,f120,1
1567,f443283,1
1538,f430524,1
1545,f253,1
1544,f127021,1
1181,f261296,1
1543,f451139,1
1182,f510485,1
1542,f503628,1
1541,f276506,1
1540,f249287,1
1183,f68827,1
1184,f86260,1
1539,f75163,1
1185,f143020,1
1547,f40677,1
1537,f127294,1
1451,f469190,1
1535,f383267,1
1534,f442283,1
1533,f207643,1
1532,f2936,1
1531,f343046,1
1530,f7402,1
1186,f1054,1
1529,f368320,1
1528,f61,1
1546,f82,1
1180,f417545,1
1566,f430900,1
1559,f261597,1
1565,f5800,1
1173,f133419,1
1564,f126596,1
1174,f276060,1
1563,f299543,1
1175,f381210,1
1176,f352286,1
1562,f252989,1
1177,f355972,1
1561,f20,1
1560,f98257,1
1558,f195326,1
1548,f17794,1
1178,f353536,1
1557,f482433,1
1556,f333777,1
1555,f52265,1
1554,f192895,1
1179,f303087,1
1553,f472056,1
1552,f414764,1
1551,f80837,1
1550,f76456,1
1549,f518797,1
1452,f315390,1
1443,f418391,1
1450,f274388,1
1336,f469546,1
1334,f211735,1
1333,f176891,1
1332,f144771,1
1331,f2659,1
1330,f4879,1
1329,f498501,1
1328,f196306,1
1327,f453514,1
1326,f83033,1
1325,f134757,1
1324,f245606,1
1323,f280854,1
1322,f77356,1
1321,f196602,1
1245,f518144,1
1320,f171657,1
1319,f134454,1
1318,f478393,1
1317,f2059,1
1316,f10657,1
1315,f284953,1
1246,f518140,1
1314,f464373,1
1247,f324957,1
1313,f370578,1
1335,f195187,1
1337,f323526,1
1311,f40167,1
