,Antibiotic,F1-micro Score,min_samples_leaf,min_samples_split,max_depth
0,Antibiotic_1,0.5744897959183674,1,2,1
1,Antibiotic_1,0.5744897959183674,1,15,1
2,Antibiotic_1,0.5744897959183674,10,2,1
3,Antibiotic_1,0.5744897959183674,10,15,1
4,Antibiotic_1,0.5795918367346938,1,2,15
5,Antibiotic_1,0.6040816326530614,1,15,15
6,Antibiotic_1,0.5938775510204082,10,2,15
7,Antibiotic_1,0.5938775510204082,10,15,15
8,Antibiotic_1,0.5836734693877551,1,2,
9,Antibiotic_1,0.6081632653061224,1,15,
10,Antibiotic_1,0.5938775510204082,10,2,
11,Antibiotic_1,0.5938775510204082,10,15,
12,Antibiotic_2,0.5102040816326531,1,2,1
13,Antibiotic_2,0.5102040816326531,1,15,1
14,Antibiotic_2,0.5102040816326531,10,2,1
15,Antibiotic_2,0.5102040816326531,10,15,1
16,Antibiotic_2,0.5132653061224489,1,2,15
17,Antibiotic_2,0.5265306122448979,1,15,15
18,Antibiotic_2,0.5316326530612245,10,2,15
19,Antibiotic_2,0.5316326530612245,10,15,15
20,Antibiotic_2,0.5122448979591836,1,2,
21,Antibiotic_2,0.5346938775510205,1,15,
22,Antibiotic_2,0.5316326530612245,10,2,
23,Antibiotic_2,0.5316326530612245,10,15,
24,Antibiotic_3,0.4632653061224491,1,2,1
25,Antibiotic_3,0.4632653061224491,1,15,1
26,Antibiotic_3,0.4632653061224491,10,2,1
27,Antibiotic_3,0.4632653061224491,10,15,1
28,Antibiotic_3,0.4326530612244898,1,2,15
29,Antibiotic_3,0.4428571428571429,1,15,15
30,Antibiotic_3,0.45816326530612245,10,2,15
31,Antibiotic_3,0.45816326530612245,10,15,15
32,Antibiotic_3,0.4295918367346939,1,2,
33,Antibiotic_3,0.43775510204081625,1,15,
34,Antibiotic_3,0.45816326530612245,10,2,
35,Antibiotic_3,0.45816326530612245,10,15,
36,Antibiotic_4,0.5744897959183674,1,2,1
37,Antibiotic_4,0.5744897959183674,1,15,1
38,Antibiotic_4,0.5744897959183674,10,2,1
39,Antibiotic_4,0.5744897959183674,10,15,1
40,Antibiotic_4,0.5795918367346938,1,2,15
41,Antibiotic_4,0.6040816326530614,1,15,15
42,Antibiotic_4,0.5938775510204082,10,2,15
43,Antibiotic_4,0.5938775510204082,10,15,15
44,Antibiotic_4,0.5836734693877551,1,2,
45,Antibiotic_4,0.6081632653061224,1,15,
46,Antibiotic_4,0.5938775510204082,10,2,
47,Antibiotic_4,0.5938775510204082,10,15,
48,Antibiotic_5,0.7255102040816327,1,2,1
49,Antibiotic_5,0.7255102040816327,1,15,1
50,Antibiotic_5,0.7255102040816327,10,2,1
51,Antibiotic_5,0.7255102040816327,10,15,1
52,Antibiotic_5,0.6948979591836735,1,2,15
53,Antibiotic_5,0.7153061224489796,1,15,15
54,Antibiotic_5,0.7255102040816327,10,2,15
55,Antibiotic_5,0.7255102040816327,10,15,15
56,Antibiotic_5,0.6979591836734694,1,2,
57,Antibiotic_5,0.7204081632653061,1,15,
58,Antibiotic_5,0.7255102040816327,10,2,
59,Antibiotic_5,0.7255102040816327,10,15,
