,Antibiotic,F1-micro Score,max_depth
0,Antibiotic_1,0.6204081632653061,1
1,Antibiotic_1,0.6122448979591837,2
2,Antibiotic_1,0.6040816326530611,3
3,Antibiotic_2,0.5479591836734694,1
4,Antibiotic_2,0.5306122448979592,2
5,Antibiotic_2,0.5295918367346938,3
6,Antibiotic_3,0.4612244897959183,1
7,Antibiotic_3,0.44693877551020406,2
8,Antibiotic_3,0.4326530612244898,3
9,Antibiotic_4,0.6204081632653061,1
10,Antibiotic_4,0.6122448979591837,2
11,Antibiotic_4,0.6040816326530611,3
12,Antibiotic_5,0.7224489795918367,1
13,Antibiotic_5,0.7173469387755101,2
14,Antibiotic_5,0.710204081632653,3
