Gene,Importance
Unnamed: 155,194
Unnamed: 199,156
Unnamed: 138,135
Unnamed: 282,130
Unnamed: 384,123
Unnamed: 154,121
Unnamed: 147,90
350,87
250,83
Unnamed: 379,80
Unnamed: 212,80
Unnamed: 343,40
Unnamed: 215,40
310,40
Unnamed: 99,40
Unnamed: 233,40
Unnamed: 388,39
Unnamed: 156,36
Unnamed: 142,36
Unnamed: 97,30
Unnamed: 159,30
Unnamed: 216,30
320,30
Unnamed: 248,30
Unnamed: 207,30
Unnamed: 224,30
Unnamed: 164,30
Unnamed: 254,27
Unnamed: 32,20
Unnamed: 167,20
Unnamed: 33,20
Unnamed: 93,20
Unnamed: 89,20
Unnamed: 317,20
Unnamed: 204,20
Unnamed: 217,20
Unnamed: 385,20
Unnamed: 96,20
Unnamed: 381,20
Unnamed: 188,16
Unnamed: 76,16
Unnamed: 359,14
220,11
Unnamed: 157,10
Unnamed: 244,10
Unnamed: 98,10
Unnamed: 85,10
Unnamed: 245,10
Unnamed: 94,10
Unnamed: 184,10
Unnamed: 293,10
Unnamed: 253,10
Unnamed: 56,10
Unnamed: 257,10
Unnamed: 299,10
Unnamed: 365,10
Unnamed: 304,10
Unnamed: 292,9
Unnamed: 38,4
Unnamed: 191,4
Unnamed: 144,4
Unnamed: 322,1
260,1
