Gene,Importance
Unnamed: 14,60
Unnamed: 92,60
Unnamed: 42,49
Unnamed: 74,46
Unnamed: 39,40
50,31
Unnamed: 18,30
60,30
Unnamed: 299,25
Unnamed: 62,21
Unnamed: 67,20
Unnamed: 19,20
Unnamed: 79,20
Unnamed: 5,20
Unnamed: 3,20
Unnamed: 11,15
Unnamed: 93,15
Unnamed: 59,11
Unnamed: 29,10
Unnamed: 182,10
Unnamed: 38,10
Unnamed: 241,10
Unnamed: 21,10
Unnamed: 255,10
230,10
Unnamed: 36,10
Unnamed: 45,10
Unnamed: 257,10
Unnamed: 297,10
Unnamed: 184,10
260,9
Unnamed: 183,9
Unnamed: 132,5
Unnamed: 12,5
