Gene,Importance
Unnamed: 154,80
Unnamed: 147,80
Unnamed: 199,80
Unnamed: 384,80
Unnamed: 282,75
Unnamed: 379,71
Unnamed: 97,59
350,57
Unnamed: 155,50
250,42
Unnamed: 207,42
Unnamed: 233,40
Unnamed: 253,40
Unnamed: 317,37
Unnamed: 224,34
310,33
Unnamed: 138,33
Unnamed: 142,30
Unnamed: 343,30
Unnamed: 254,29
Unnamed: 85,29
Unnamed: 333,21
Unnamed: 31,20
Unnamed: 299,20
Unnamed: 248,20
Unnamed: 388,20
Unnamed: 89,20
Unnamed: 157,20
Unnamed: 215,18
Unnamed: 348,18
Unnamed: 334,17
Unnamed: 359,13
260,10
Unnamed: 208,10
Unnamed: 76,10
Unnamed: 385,10
Unnamed: 216,10
Unnamed: 212,10
Unnamed: 204,10
Unnamed: 381,10
Unnamed: 156,10
Unnamed: 249,9
340,9
Unnamed: 322,9
320,9
Unnamed: 94,7
Unnamed: 29,6
Unnamed: 197,6
Unnamed: 244,4
Unnamed: 99,4
Unnamed: 32,4
Unnamed: 305,1
Unnamed: 365,1
Unnamed: 293,1
Unnamed: 98,1
Unnamed: 96,1
