Gene,Importance
Unnamed: 39,77
Unnamed: 14,60
Unnamed: 5,50
Unnamed: 79,50
Unnamed: 92,50
Unnamed: 42,50
Unnamed: 74,50
Unnamed: 62,40
50,30
Unnamed: 3,30
Unnamed: 67,30
Unnamed: 257,30
Unnamed: 93,30
Unnamed: 19,30
Unnamed: 18,20
Unnamed: 12,20
Unnamed: 88,20
Unnamed: 45,20
Unnamed: 32,17
Unnamed: 29,17
Unnamed: 241,10
Unnamed: 258,10
220,10
Unnamed: 59,10
Unnamed: 183,10
Unnamed: 299,10
Unnamed: 25,10
Unnamed: 43,10
60,10
Unnamed: 182,10
Unnamed: 125,10
Unnamed: 65,10
Unnamed: 81,10
Unnamed: 211,10
Unnamed: 13,10
Unnamed: 21,3
Unnamed: 36,3
