Gene,Importance
Unnamed: 147,169
Unnamed: 199,150
Unnamed: 384,150
Unnamed: 282,113
Unnamed: 154,110
350,95
250,87
Unnamed: 379,80
Unnamed: 388,65
Unnamed: 343,60
Unnamed: 224,52
310,51
Unnamed: 97,50
Unnamed: 155,50
Unnamed: 317,45
Unnamed: 233,42
Unnamed: 156,40
Unnamed: 85,40
Unnamed: 348,38
Unnamed: 293,34
Unnamed: 254,33
Unnamed: 216,32
Unnamed: 244,31
Unnamed: 142,30
Unnamed: 333,29
Unnamed: 385,28
Unnamed: 138,24
Unnamed: 381,24
Unnamed: 215,20
Unnamed: 208,20
Unnamed: 31,20
Unnamed: 89,20
Unnamed: 96,20
Unnamed: 204,20
Unnamed: 174,20
120,16
Unnamed: 94,16
Unnamed: 99,14
Unnamed: 305,13
Unnamed: 322,11
Unnamed: 98,10
Unnamed: 207,10
Unnamed: 301,10
Unnamed: 253,10
Unnamed: 167,10
Unnamed: 257,10
Unnamed: 196,10
Unnamed: 255,10
Unnamed: 157,10
Unnamed: 144,10
Unnamed: 249,10
Unnamed: 396,10
Unnamed: 304,10
Unnamed: 299,10
100,10
Unnamed: 76,10
Unnamed: 38,10
Unnamed: 359,10
Unnamed: 248,10
Unnamed: 212,10
Unnamed: 328,9
210,5
Unnamed: 331,5
Unnamed: 256,4
Unnamed: 292,3
Unnamed: 341,2
