Gene,Importance
Unnamed: 384,92
Unnamed: 282,72
Unnamed: 147,66
Unnamed: 154,64
Unnamed: 138,60
Unnamed: 233,60
Unnamed: 156,49
Unnamed: 343,44
350,44
Unnamed: 199,42
Unnamed: 317,40
Unnamed: 333,32
Unnamed: 306,30
Unnamed: 348,30
Unnamed: 379,30
Unnamed: 254,29
Unnamed: 388,27
Unnamed: 299,26
Unnamed: 224,26
Unnamed: 204,21
Unnamed: 157,20
Unnamed: 99,20
250,20
Unnamed: 215,20
Unnamed: 217,20
Unnamed: 89,20
100,20
Unnamed: 85,20
Unnamed: 305,16
Unnamed: 341,16
310,16
Unnamed: 155,14
Unnamed: 94,14
Unnamed: 253,11
Unnamed: 97,10
Unnamed: 159,10
Unnamed: 174,10
Unnamed: 301,10
Unnamed: 214,10
Unnamed: 12,10
Unnamed: 76,10
Unnamed: 144,10
Unnamed: 166,10
Unnamed: 207,10
Unnamed: 216,10
Unnamed: 256,10
Unnamed: 112,10
Unnamed: 322,10
Unnamed: 255,10
Unnamed: 263,10
Unnamed: 68,10
Unnamed: 365,6
Unnamed: 359,6
Unnamed: 308,6
260,4
Unnamed: 331,4
