Gene,Importance
350,66
Unnamed: 255,30
Unnamed: 282,30
Unnamed: 199,30
Unnamed: 388,30
Unnamed: 147,30
Unnamed: 155,25
Unnamed: 348,22
Unnamed: 215,20
Unnamed: 157,20
Unnamed: 385,16
250,16
Unnamed: 249,15
Unnamed: 384,14
Unnamed: 343,12
Unnamed: 365,10
Unnamed: 101,10
Unnamed: 216,10
Unnamed: 305,10
Unnamed: 333,10
Unnamed: 32,10
310,10
Unnamed: 253,10
Unnamed: 85,10
Unnamed: 154,10
Unnamed: 94,10
Unnamed: 97,10
Unnamed: 233,10
Unnamed: 159,10
Unnamed: 317,10
Unnamed: 37,10
120,10
Unnamed: 99,10
Unnamed: 224,10
Unnamed: 29,6
Unnamed: 256,5
Unnamed: 24,4
Unnamed: 254,2
