Gene,Importance
Unnamed: 384,138
Unnamed: 147,127
Unnamed: 199,91
Unnamed: 154,90
Unnamed: 282,90
350,87
Unnamed: 224,70
Unnamed: 317,58
250,55
Unnamed: 138,50
Unnamed: 233,50
Unnamed: 388,42
Unnamed: 343,40
Unnamed: 216,40
310,39
Unnamed: 89,38
Unnamed: 396,35
Unnamed: 156,30
Unnamed: 333,30
Unnamed: 97,30
Unnamed: 142,30
Unnamed: 98,30
Unnamed: 379,26
Unnamed: 85,22
Unnamed: 208,20
Unnamed: 215,20
Unnamed: 331,20
Unnamed: 381,20
Unnamed: 249,20
Unnamed: 94,16
Unnamed: 348,16
Unnamed: 164,12
Unnamed: 157,10
Unnamed: 99,10
Unnamed: 38,10
Unnamed: 255,10
Unnamed: 334,10
Unnamed: 299,10
Unnamed: 76,10
Unnamed: 254,10
Unnamed: 228,10
Unnamed: 304,10
210,10
Unnamed: 257,10
Unnamed: 172,8
Unnamed: 32,8
Unnamed: 359,5
Unnamed: 214,5
Unnamed: 207,5
Unnamed: 31,2
320,1
Unnamed: 365,1
