Gene,Importance
Unnamed: 384,96
Unnamed: 282,95
Unnamed: 199,83
250,78
Unnamed: 154,64
Unnamed: 147,60
Unnamed: 138,58
Unnamed: 155,54
Unnamed: 156,50
Unnamed: 224,47
Unnamed: 317,40
Unnamed: 157,40
Unnamed: 388,37
Unnamed: 385,33
Unnamed: 379,30
Unnamed: 85,30
350,29
Unnamed: 343,29
Unnamed: 233,25
Unnamed: 142,20
120,20
Unnamed: 214,20
Unnamed: 159,20
Unnamed: 254,20
Unnamed: 167,20
Unnamed: 215,20
Unnamed: 94,20
Unnamed: 29,20
Unnamed: 322,20
Unnamed: 33,19
Unnamed: 299,18
Unnamed: 204,16
Unnamed: 216,16
340,15
Unnamed: 174,13
Unnamed: 97,13
310,13
320,13
Unnamed: 217,12
Unnamed: 341,12
Unnamed: 99,12
Unnamed: 253,11
Unnamed: 32,11
Unnamed: 334,10
Unnamed: 31,10
Unnamed: 348,10
Unnamed: 144,10
100,10
Unnamed: 331,10
Unnamed: 89,10
Unnamed: 248,10
Unnamed: 212,10
Unnamed: 207,9
Unnamed: 112,8
Unnamed: 273,8
260,8
Unnamed: 105,7
Unnamed: 208,7
Unnamed: 257,5
Unnamed: 292,5
Unnamed: 27,5
Unnamed: 172,4
Unnamed: 396,3
Unnamed: 308,2
Unnamed: 249,2
Unnamed: 278,1
