Gene,Importance
Unnamed: 224,60
Unnamed: 388,50
Unnamed: 97,40
Unnamed: 147,40
Unnamed: 199,30
Unnamed: 384,25
250,25
Unnamed: 254,23
Unnamed: 77,20
Unnamed: 233,20
Unnamed: 154,20
Unnamed: 157,20
Unnamed: 89,20
Unnamed: 32,20
Unnamed: 381,20
Unnamed: 248,20
Unnamed: 255,20
Unnamed: 138,17
350,15
Unnamed: 359,15
Unnamed: 282,15
Unnamed: 348,15
Unnamed: 253,10
Unnamed: 46,10
Unnamed: 379,10
Unnamed: 155,10
Unnamed: 208,10
Unnamed: 249,10
Unnamed: 85,10
310,10
Unnamed: 317,10
Unnamed: 142,10
Unnamed: 38,10
Unnamed: 94,10
Unnamed: 31,10
Unnamed: 385,7
Unnamed: 216,2
Unnamed: 203,2
