Gene,Importance
Unnamed: 384,180
Unnamed: 147,160
Unnamed: 282,115
Unnamed: 154,114
350,105
Unnamed: 379,102
Unnamed: 199,100
Unnamed: 155,86
Unnamed: 343,68
250,66
Unnamed: 97,54
Unnamed: 385,51
Unnamed: 249,50
Unnamed: 224,45
Unnamed: 89,44
Unnamed: 142,40
Unnamed: 299,38
Unnamed: 233,37
Unnamed: 359,32
310,30
Unnamed: 138,30
Unnamed: 207,30
Unnamed: 388,29
Unnamed: 156,24
Unnamed: 217,24
Unnamed: 216,23
Unnamed: 38,22
Unnamed: 244,20
Unnamed: 99,20
Unnamed: 248,20
Unnamed: 254,20
260,20
Unnamed: 253,20
320,18
Unnamed: 96,16
Unnamed: 293,15
Unnamed: 317,12
Unnamed: 212,10
Unnamed: 208,10
Unnamed: 46,10
Unnamed: 258,10
100,10
Unnamed: 157,10
Unnamed: 381,10
Unnamed: 94,10
Unnamed: 292,10
Unnamed: 348,9
Unnamed: 85,8
Unnamed: 204,6
Unnamed: 328,6
Unnamed: 365,5
Unnamed: 341,5
Unnamed: 77,5
Unnamed: 164,4
Unnamed: 333,3
Unnamed: 396,3
210,3
Unnamed: 214,2
Unnamed: 257,2
Unnamed: 334,1
Unnamed: 301,1
