Gene,Importance
Unnamed: 199,74
Unnamed: 154,60
Unnamed: 282,51
Unnamed: 224,40
250,40
Unnamed: 147,39
Unnamed: 142,38
350,36
Unnamed: 138,34
Unnamed: 384,33
Unnamed: 99,30
Unnamed: 388,30
Unnamed: 317,30
Unnamed: 157,30
Unnamed: 254,30
Unnamed: 233,25
Unnamed: 97,20
Unnamed: 248,20
Unnamed: 155,20
Unnamed: 228,20
Unnamed: 215,20
Unnamed: 249,16
Unnamed: 343,16
Unnamed: 94,15
Unnamed: 334,13
Unnamed: 204,11
320,10
Unnamed: 174,10
Unnamed: 216,10
Unnamed: 359,10
Unnamed: 385,10
Unnamed: 348,10
Unnamed: 253,10
Unnamed: 77,10
Unnamed: 89,10
Unnamed: 156,10
Unnamed: 212,10
Unnamed: 37,10
Unnamed: 379,10
Unnamed: 381,8
Unnamed: 33,8
Unnamed: 207,6
310,5
Unnamed: 12,5
Unnamed: 31,5
Unnamed: 208,4
Unnamed: 32,2
Unnamed: 244,1
