Gene,Importance
Unnamed: 199,147
Unnamed: 155,132
Unnamed: 384,104
Unnamed: 282,85
Unnamed: 147,84
Unnamed: 212,70
Unnamed: 224,70
Unnamed: 138,54
Unnamed: 207,53
Unnamed: 154,50
Unnamed: 253,50
250,49
Unnamed: 233,37
350,36
Unnamed: 388,32
Unnamed: 157,31
Unnamed: 156,30
Unnamed: 322,30
Unnamed: 317,30
Unnamed: 379,30
Unnamed: 94,30
Unnamed: 299,30
310,26
320,25
Unnamed: 99,25
Unnamed: 85,23
Unnamed: 216,22
Unnamed: 27,20
Unnamed: 396,20
Unnamed: 164,20
Unnamed: 381,20
Unnamed: 248,19
Unnamed: 348,18
Unnamed: 75,17
Unnamed: 203,17
Unnamed: 214,15
Unnamed: 29,13
Unnamed: 217,10
Unnamed: 96,10
Unnamed: 33,10
Unnamed: 191,10
Unnamed: 142,10
Unnamed: 244,10
Unnamed: 167,10
Unnamed: 102,10
260,10
Unnamed: 359,10
Unnamed: 385,10
Unnamed: 293,10
Unnamed: 32,10
100,10
Unnamed: 97,10
Unnamed: 89,10
Unnamed: 343,10
Unnamed: 159,10
Unnamed: 76,10
Unnamed: 215,10
Unnamed: 112,10
Unnamed: 174,10
Unnamed: 208,10
Unnamed: 184,8
Unnamed: 365,8
Unnamed: 236,7
Unnamed: 24,7
Unnamed: 341,6
Unnamed: 172,5
Unnamed: 278,5
120,5
Unnamed: 331,5
Unnamed: 333,4
Unnamed: 252,3
340,3
210,2
Unnamed: 182,2
Unnamed: 202,2
